"","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10"
"p1",55,88,77,68,48,47,55,44,45,34
"p2",64,69,88,74,51,58,47,60,34,35
"p3",77,88,78,85,68,60,48,54,31,37
"p4",54,80,79,67,64,61,56,47,37,24
"p5",48,90,69,67,60,51,50,46,29,35
"p6",54,87,68,65,60,42,55,36,34,20
"p7",65,67,65,61,58,54,44,45,50,35
"p8",61,79,78,65,75,52,45,38,52,40
"p9",59,82,69,65,55,64,43,44,43,41
"p10",49,78,62,66,60,54,57,48,46,36
"p11",55,86,68,72,50,61,46,47,41,38
"p12",55,76,72,77,54,44,43,42,30,33
"p13",58,86,72,72,52,57,59,42,45,44
"p14",53,82,63,62,66,58,58,42,40,40
"p15",67,87,79,61,66,58,53,48,30,40
"p16",68,85,79,64,59,57,54,50,48,30
"p17",59,80,67,80,54,54,45,39,46,43
"p18",55,62,84,68,62,48,44,36,40,40
"p19",59,93,79,58,47,51,55,49,37,35
"p20",57,79,80,75,66,55,49,45,37,38
"p21",42,101,66,70,54,42,39,34,31,41
"p22",65,89,76,66,59,54,67,37,36,42
"p23",66,85,73,62,75,49,51,35,33,41
"p24",52,75,77,76,44,51,63,40,30,38
"p25",61,81,56,59,55,49,49,51,36,32
"p26",62,71,68,68,65,53,63,44,43,30
"p27",54,88,67,60,57,55,62,46,46,38
"p28",60,96,63,87,58,58,47,52,50,37
"p29",56,92,82,64,82,64,44,47,35,30
"p30",48,93,70,60,68,56,37,44,37,39
"p31",64,73,87,63,56,59,50,38,31,35
"p32",61,81,71,61,66,54,48,62,46,35
"p33",71,82,68,53,61,67,60,29,36,42
"p34",63,82,82,48,54,53,71,55,35,29
"p35",65,84,84,76,51,55,45,55,32,33
"p36",60,96,74,64,59,63,53,56,41,26
"p37",57,88,74,66,58,62,62,53,36,32
"p38",46,83,74,48,54,57,44,41,38,36
"p39",49,80,72,64,56,58,56,47,34,35
"p40",64,67,74,68,61,66,57,44,35,39
"p41",59,82,62,54,56,53,53,61,58,37
"p42",57,70,74,66,68,49,56,44,45,33
"p43",65,77,81,63,61,52,47,44,46,34
"p44",58,82,61,78,65,54,55,54,30,39
"p45",63,81,63,89,55,50,46,38,44,37
"p46",76,86,66,68,68,50,40,39,18,35
"p47",72,80,74,63,68,63,43,49,41,40
"p48",55,77,92,69,54,56,43,45,36,23
"p49",57,96,75,71,52,50,50,40,30,41
"p50",64,76,78,75,50,51,49,44,33,39
"p51",55,88,82,80,62,53,57,42,42,30
"p52",58,83,82,68,62,53,50,37,28,37
"p53",57,81,75,72,53,44,69,45,39,30
"p54",50,81,96,62,64,51,52,46,39,48
"p55",72,82,71,57,52,50,49,56,32,41
"p56",62,59,78,68,50,61,46,36,39,48
"p57",79,88,62,74,53,69,60,29,45,38
"p58",65,91,78,74,70,57,59,49,36,38
"p59",64,74,69,59,59,62,42,54,41,33
"p60",66,98,77,46,63,49,51,48,32,35
"p61",56,90,74,70,56,59,50,52,36,36
"p62",66,81,63,65,77,55,50,42,37,46
"p63",60,80,79,66,59,54,50,35,36,35
"p64",53,85,75,56,74,60,44,52,45,33
"p65",53,76,64,73,78,52,42,42,45,43
"p66",56,74,79,60,57,58,43,35,40,35
"p67",62,78,83,78,61,47,45,41,41,41
"p68",58,78,60,50,74,60,55,43,27,33
"p69",61,85,67,63,60,50,51,52,34,32
"p70",69,72,92,68,77,50,53,42,44,36
"p71",63,79,73,81,53,65,47,45,45,32
"p72",75,73,80,77,71,67,44,58,32,34
"p73",61,85,65,74,70,52,39,40,43,33
"p74",68,92,72,82,62,52,46,36,37,37
"p75",68,76,68,64,54,50,53,43,30,36
"p76",53,79,86,52,60,41,46,55,31,35
"p77",64,64,73,85,54,51,46,46,42,43
"p78",75,78,79,79,53,55,49,49,49,32
"p79",68,89,80,70,60,61,57,52,30,31
"p80",61,77,67,81,60,39,51,48,41,34
"p81",47,78,64,63,67,39,48,48,52,29
"p82",67,79,65,60,48,57,51,39,44,35
"p83",63,88,77,53,57,48,48,43,43,37
"p84",60,88,58,78,65,64,52,41,42,54
"p85",61,77,70,72,68,53,60,44,40,38
"p86",51,83,74,64,60,47,48,45,37,42
"p87",50,81,88,62,62,60,56,56,38,35
"p88",72,80,83,69,50,48,50,44,47,36
"p89",56,86,87,66,53,51,49,54,42,24
"p90",61,70,65,61,55,67,46,42,48,33
